Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
12,2.2,55.1,1012.1,42,21,0.025,0.027,0.3,0.003,1
14.3,2.1,54,1008.3,60,35,0.017,0.045,0.4,0.005,1
21.1,2,34.8,1004.1,70,29,0.032,0.034,0.4,0.005,1
17.2,3.6,32,999.3,44,15,0.037,0.018,0.3,0.003,1
17.2,2,34.4,997.3,51,20,0.028,0.032,0.3,0.004,1
16.2,2.5,47.6,1001.5,53,26,0.029,0.031,0.3,0.004,1
15.9,2.8,45.3,1001.4,72,42,0.039,0.03,0.4,0.007,0
16.3,2,89.3,996.8,48,23,0.017,0.034,0.4,0.003,0
16.5,2.6,60.3,1004,98,21,0.025,0.025,0.3,0.004,0
17.8,2.7,62.4,1002.9,28,15,0.024,0.032,0.3,0.004,1
18.6,2.1,57,1009.4,37,22,0.031,0.023,0.3,0.004,1
22.3,1.9,40.3,1008,44,27,0.028,0.038,0.4,0.005,1
24.3,1.6,36.4,1007.2,36,20,0.027,0.039,0.3,0.004,1
24,1.8,32,1007.2,48,32,0.03,0.046,0.4,0.005,1
24.1,2,23.8,1007.9,34,26,0.038,0.033,0.3,0.003,0
16.8,2.6,82.6,996.9,31,23,0.031,0.026,0.3,0.004,1
21.7,2.1,56.1,997.9,74,46,0.034,0.031,0.4,0.006,0
22.2,2.2,48.1,1000.9,41,24,0.033,0.033,0.3,0.005,1
21.2,1.6,51.8,999.1,45,25,0.029,0.03,0.3,0.004,0
24.1,2,59.5,1000.9,49,30,0.024,0.031,0.3,0.004,1
23.5,1.7,74.3,1000.1,46,30,0.022,0.022,0.3,0.005,0
23.5,2.4,70.5,992.2,62,38,0.03,0.024,0.4,0.004,1
23.8,2.1,62.5,992.9,47,31,0.026,0.034,0.4,0.005,1
20.9,2.7,81.8,990.5,36,23,0.022,0.024,0.3,0.004,1
20.9,2.8,73.5,990.3,30,17,0.032,0.02,0.3,0.004,1
23.8,2.5,63.1,998,54,38,0.037,0.027,0.5,0.005,1
24.7,1.7,66,996.7,48,34,0.031,0.027,0.4,0.004,1
26,1.7,60.1,996.8,62,45,0.035,0.038,0.5,0.005,1
24.7,2.1,71,995.9,44,31,0.028,0.028,0.4,0.004,1
23.1,2,75.8,989.7,63,40,0.026,0.025,0.4,0.004,1
22.8,2.8,63.1,993.1,31,16,0.027,0.024,0.3,0.005,0
24.4,1.6,55.5,999.8,33,19,0.023,0.034,0.4,0.006,1
24.7,1.8,61.1,1000.5,63,43,0.027,0.034,0.4,0.005,1
